agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,12922.333333333334,,-12922.333333333334,0,12922.333333333334,0.0,0.0
H1,,,,627.0,,,,,11055,-10428.0,627.0,11055,0.0,0.0
H2,,,,7918.0,,,,,,7918.0,7918.0,0,0.0,0.0
H3,,,,1804.0,,,,,526,1278.0,1804.0,526,0.0,0.0
H4,,,,647.0,,,,,1235,-588.0,647.0,1235,0.0,0.0
H5,,,,625.0,735,,,,502,858.0,1360.0,502,0.0,0.0
big_short,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,,11055,,,,,11055,11055,0,0.0,0.0
big_long,,,,634.6666666666666,528,,,,,1162.6666666666665,1162.6666666666665,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,12922.333333333334,13318,,,12922.333333333334,13318,0,26240.333333333332,26240.333333333332,0.0,0.0
SYSTEM,system,System Total,26240.333333333332,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,26240.333333333332,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
