agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,8615.333333333334,,-8615.333333333334,0,8615.333333333334,0.0,0.0
H1,,,,2500.0,,,,,500,2000.0,2500.0,500,0.0,0.0
H2,,,,1706.0,,,,,8373,-6667.0,1706.0,8373,0.0,0.0
H3,,,,625.0,7873,,,,505,7993.0,8498.0,505,0.0,0.0
H4,,,,625.0,5,,,,500,130.0,630.0,500,0.0,0.0
H5,,,,625.0,,,,,3918,-3293.0,625.0,3918,0.0,0.0
big_short,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_long,,,,1201.0,500,,,,,1701.0,1701.0,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,3418,,,,,3418,3418,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,8615.333333333334,13796,,,8615.333333333334,13796,0,22411.333333333332,22411.333333333332,0.0,0.0
SYSTEM,system,System Total,22411.333333333332,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,22411.333333333332,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
