agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,26492.0,,-26492.0,0,26492.0,0.0,0.0
H1,,,,5000.0,2301,,,,1338,5963.0,7301.0,1338,0.0,0.0
H2,,,,2207.0,3377,,,,3039,2545.0,5584.0,3039,0.0,0.0
H3,,,,7285.0,,,,,5018,2267.0,7285.0,5018,0.0,0.0
H4,,,,5000.0,4518,,,,2802,6716.0,9518.0,2802,0.0,0.0
H5,,,,5000.0,2302,,,,2801,4501.0,7302.0,2801,0.0,0.0
big_short,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_long,,,,666.6666666666666,500,,,,,1166.6666666666665,1166.6666666666665,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,26492.0,14998,,,26492.0,14998,0,41490.0,41490.0,0.0,0.0
SYSTEM,system,System Total,41490.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,41490.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
