agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,16080.0,,-16080.0,0,16080.0,0.0,0.0
H1,,,,1250.0,753,,,,814,1189.0,2003.0,814,0.0,0.0
H2,,,,137.0,314,,,,,451.0,451.0,0,0.0,0.0
H3,,,,1802.0,,,,,3294,-1492.0,1802.0,3294,0.0,0.0
H4,,,,3485.0,,,,,8523,-5038.0,3485.0,8523,0.0,0.0
H5,,,,7668.0,,,,,1253,6415.0,7668.0,1253,0.0,0.0
big_short,,,,625.0,1000,,,,,1625.0,1625.0,0,0.0,0.0
big_mid,,,,500,8523,,,,,9023,9023,0,0.0,0.0
big_long,,,,613,500,,,,,1113,1113,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,2794,,,,,2794,2794,0,0.0,0.0
SYSTEM,,,,16080.0,13884,,,16080.0,13884,0,29964.0,29964.0,0.0,0.0
SYSTEM,system,System Total,29964.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,29964.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
