agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,13717.0,,-13717.0,0,13717.0,0.0,0.0
H1,,,,2500.0,8548,,,,649,10399.0,11048.0,649,0.0,0.0
H2,,,,2634.0,,,,,4287,-1653.0,2634.0,4287,0.0,0.0
H3,,,,2500.0,3787,,,,506,5781.0,6287.0,506,0.0,0.0
H4,,,,2327.0,163,,,,508,1982.0,2490.0,508,0.0,0.0
H5,,,,2506.0,,,,,9048,-6542.0,2506.0,9048,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,13717.0,14998,,,13717.0,14998,0,28715.0,28715.0,0.0,0.0
SYSTEM,system,System Total,28715.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,28715.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
