agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,19483.333333333332,,-19483.333333333332,0,19483.333333333332,0.0,0.0
H1,,,,3789.0,,,,,6630,-2841.0,3789.0,6630,0.0,0.0
H2,,,,4500.0,,,,,,4500.0,4500.0,0,0.0,0.0
H3,,,,4904.0,,,,,1835,3069.0,4904.0,1835,0.0,0.0
H4,,,,1957.0,1517,,,,1611,1863.0,3474.0,1611,0.0,0.0
H5,,,,2500.0,1111,,,,2017,1594.0,3611.0,2017,0.0,0.0
big_short,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,1166.6666666666665,500,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_long,,,,,1835,,,,,1835,1835,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,6130,,,,,6130,6130,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,19483.333333333332,12093,,,19483.333333333332,12093,0,31576.333333333332,31576.333333333332,0.0,0.0
SYSTEM,system,System Total,31576.333333333332,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,31576.333333333332,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
