agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,14568.333333333334,,-14568.333333333334,0,14568.333333333334,0.0,0.0
H1,,,,6023.0,,,,,890,5133.0,6023.0,890,0.0,0.0
H2,,,,369.0,,,,,500,-131.0,369.0,500,0.0,0.0
H3,,,,1136.0,,,,,2585,-1449.0,1136.0,2585,0.0,0.0
H4,,,,2501.0,,,,,3603,-1102.0,2501.0,3603,0.0,0.0
H5,,,,3263.0,,,,,6851,-3588.0,3263.0,6851,0.0,0.0
big_short,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,609.6666666666666,1000,,,,,1609.6666666666665,1609.6666666666665,0,0.0,0.0
big_long,,,,,2585,,,,,2585,2585,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,9844,,,,,9844,9844,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,14568.333333333334,14429,,,14568.333333333334,14429,0,28997.333333333332,28997.333333333332,0.0,0.0
SYSTEM,system,System Total,28997.333333333332,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,28997.333333333332,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
