agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,18784.0,,-18784.0,0,18784.0,0.0,0.0
H1,,,,4576.0,,,,,2814,1762.0,4576.0,2814,0.0,0.0
H2,,,,142.0,,,,,500,-358.0,142.0,500,0.0,0.0
H3,,,,6825.0,,,,,2150,4675.0,6825.0,2150,0.0,0.0
H4,,,,2500.0,1650,,,,2401,1749.0,4150.0,2401,0.0,0.0
H5,,,,4116.0,,,,,2807,1309.0,4116.0,2807,0.0,0.0
big_short,,,,,3314,,,,,3314,3314,0,0.0,0.0
big_mid,,,,625.0,1000,,,,,1625.0,1625.0,0,0.0,0.0
big_long,,,,,2807,,,,,2807,2807,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,1901,,,,,1901,1901,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,18784.0,10672,,,18784.0,10672,0,29456.0,29456.0,0.0,0.0
SYSTEM,system,System Total,29456.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,29456.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
