agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,4874.333333333333,,-4874.333333333333,0,4874.333333333333,0.0,0.0
H1,,,,629.0,,,,,1488,-859.0,629.0,1488,0.0,0.0
H2,,,,211.0,5,,,,,216.0,216.0,0,0.0,0.0
H3,,,,1253.0,,,,,11199,-9946.0,1253.0,11199,0.0,0.0
H4,,,,625.0,10699,,,,607,10717.0,11324.0,607,0.0,0.0
H5,,,,625.0,107,,,,505,227.0,732.0,505,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,,1488,,,,,1488,1488,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,698.0,,,,,,698.0,698.0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,4874.333333333333,13799,,,4874.333333333333,13799,0,18673.333333333332,18673.333333333332,0.0,0.0
SYSTEM,system,System Total,18673.333333333332,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,18673.333333333332,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
