agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,12926.0,,-12926.0,0,12926.0,0.0,0.0
H1,,,,2533.0,,,,,3686,-1153.0,2533.0,3686,0.0,0.0
H2,,,,3333.0,,,,,5540,-2207.0,3333.0,5540,0.0,0.0
H3,,,,2829,2120,,,,693,4256,4949,693,0.0,0.0
H4,,,,789.0,,,,,2459,-1670.0,789.0,2459,0.0,0.0
H5,,,,2192.0,,,,,2620,-428.0,2192.0,2620,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,5040,,,,,5040,5040,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,5338,,,,,5338,5338,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,12926.0,14998,,,12926.0,14998,0,27924.0,27924.0,0.0,0.0
SYSTEM,system,System Total,27924.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,27924.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
