agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,14371.666666666666,,-14371.666666666666,0,14371.666666666666,0.0,0.0
H1,,,,2462.0,,,,,4386,-1924.0,2462.0,4386,0.0,0.0
H2,,,,1166.0,,,,,,1166.0,1166.0,0,0.0,0.0
H3,,,,2486.0,,,,,1440,1046.0,2486.0,1440,0.0,0.0
H4,,,,1471.0,,,,,3943,-2472.0,1471.0,3943,0.0,0.0
H5,,,,3552.0,,,,,2661,891.0,3552.0,2661,0.0,0.0
big_short,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,2568.0,500,,,,,3068.0,3068.0,0,0.0,0.0
big_long,,,,,1440,,,,,1440,1440,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,9490,,,,,9490,9490,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,14371.666666666666,12430,,,14371.666666666666,12430,0,26801.666666666668,26801.666666666668,0.0,0.0
SYSTEM,system,System Total,26801.666666666668,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,26801.666666666668,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
