agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,18045.0,,-18045.0,0,18045.0,0.0,0.0
H1,,,,2500.0,0,,,,501,1999.0,2500.0,501,0.0,0.0
H2,,,,1991.0,1,,,,,1992.0,1992.0,0,0.0,0.0
H3,,,,2508.0,,,,,8485,-5977.0,2508.0,8485,0.0,0.0
H4,,,,9287.0,,,,,5003,4284.0,9287.0,5003,0.0,0.0
H5,,,,9,12488,,,,500,11997,12497,500,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,916.6666666666667,500,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,18045.0,14489,,,18045.0,14489,0,32534.0,32534.0,0.0,0.0
SYSTEM,system,System Total,32534.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,32534.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
