agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,18282.0,,-18282.0,0,18282.0,0.0,0.0
H1,,,,4142.0,,,,,4879,-737.0,4142.0,4879,0.0,0.0
H2,,,,2054.0,,,,,,2054.0,2054.0,0,0.0,0.0
H3,,,,6168.0,,,,,1881,4287.0,6168.0,1881,0.0,0.0
H4,,,,1668.0,1824,,,,1746,1746.0,3492.0,1746,0.0,0.0
H5,,,,2500.0,1246,,,,2324,1422.0,3746.0,2324,0.0,0.0
big_short,,,,625.0,1000,,,,,1625.0,1625.0,0,0.0,0.0
big_mid,,,,1125.0,500,,,,,1625.0,1625.0,0,0.0,0.0
big_long,,,,,1881,,,,,1881,1881,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,4379,,,,,4379,4379,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,18282.0,10830,,,18282.0,10830,0,29112.0,29112.0,0.0,0.0
SYSTEM,system,System Total,29112.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,29112.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
