agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,15289.666666666666,,-15289.666666666666,0,15289.666666666666,0.0,0.0
H1,,,,2420.0,,,,,4685,-2265.0,2420.0,4685,0.0,0.0
H2,,,,750.0,4185,,,,,4935.0,4935.0,0,0.0,0.0
H3,,,,1250.0,,,,,6658,-5408.0,1250.0,6658,0.0,0.0
H4,,,,6792.0,,,,,1278,5514.0,6792.0,1278,0.0,0.0
H5,,,,1911.0,,,,,1877,34.0,1911.0,1877,0.0,0.0
big_short,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_mid,,,,500,6658,,,,,7158,7158,0,0.0,0.0
big_long,,,,833.3333333333334,500,,,,,1333.3333333333335,1333.3333333333335,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,2155,,,,,2155,2155,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,15289.666666666666,14498,,,15289.666666666666,14498,0,29787.666666666668,29787.666666666668,0.0,0.0
SYSTEM,system,System Total,29787.666666666668,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,29787.666666666668,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
