agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,18596.0,,-18596.0,0,18596.0,0.0,0.0
H1,,,,2500.0,159,,,,500,2159.0,2659.0,500,0.0,0.0
H2,,,,2497.0,,,,,500,1997.0,2497.0,500,0.0,0.0
H3,,,,2503.0,,,,,5885,-3382.0,2503.0,5885,0.0,0.0
H4,,,,7346.0,,,,,7452,-106.0,7346.0,7452,0.0,0.0
H5,,,,2500.0,6952,,,,659,8793.0,9452.0,659,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,5385,,,,,5385,5385,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,18596.0,14996,,,18596.0,14996,0,33592.0,33592.0,0.0,0.0
SYSTEM,system,System Total,33592.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,33592.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
