agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,19265.0,,-19265.0,0,19265.0,0.0,0.0
H1,,,,4911.0,,,,,2724,2187.0,4911.0,2724,0.0,0.0
H2,,,,1443,2679,,,,4620,-498,4122,4620,0.0,0.0
H3,,,,6208.0,,,,,2957,3251.0,6208.0,2957,0.0,0.0
H4,,,,2088,4120,,,,1518,4690,6208,1518,0.0,0.0
H5,,,,3365.0,,,,,3179,186.0,3365.0,3179,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,2224,,,,,2224,2224,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,3475,,,,,3475,3475,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,19265.0,14998,,,19265.0,14998,0,34263.0,34263.0,0.0,0.0
SYSTEM,system,System Total,34263.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,34263.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
