agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,18829.333333333332,,-18829.333333333332,0,18829.333333333332,0.0,0.0
H1,,,,514.0,,,,,500,14.0,514.0,500,0.0,0.0
H2,,,,3262.0,,,,,4237,-975.0,3262.0,4237,0.0,0.0
H3,,,,4613.0,,,,,1999,2614.0,4613.0,1999,0.0,0.0
H4,,,,2599.0,,,,,3859,-1260.0,2599.0,3859,0.0,0.0
H5,,,,4273.0,,,,,2166,2107.0,4273.0,2166,0.0,0.0
big_short,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,2235.0,1000,,,,,3235.0,3235.0,0,0.0,0.0
big_long,,,,666.6666666666666,500,,,,,1166.6666666666665,1166.6666666666665,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,10261,,,,,10261,10261,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,18829.333333333332,12761,,,18829.333333333332,12761,0,31590.333333333332,31590.333333333332,0.0,0.0
SYSTEM,system,System Total,31590.333333333332,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,31590.333333333332,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
