agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,2500.0,-2500.0,0,2500.0,0.0,0.0
H1,,,,44.0,,,,44.0,44.0,0,0.0,0.0
H2,,,,21.0,,,,21.0,21.0,0,0.0,0.0
H3,,,,,,,,0,0,0,0.0,0.0
H4,,,,,,,,0,0,0,0.0,0.0
H5,,,,75.0,,,,75.0,75.0,0,0.0,0.0
H6,,,,23.0,,,,23.0,23.0,0,0.0,0.0
H7,,,,7,,,,7,7,0,0.0,0.0
H8,,,,44.0,,,,44.0,44.0,0,0.0,0.0
H9,,,,20.0,,,,20.0,20.0,0,0.0,0.0
H10,,,,11,,,,11,11,0,0.0,0.0
H11,,,,,,,,0,0,0,0.0,0.0
H12,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H13,,,,,,,,0,0,0,0.0,0.0
H14,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H15,,,,47.0,,,,47.0,47.0,0,0.0,0.0
H16,,,,4.0,,,,4.0,4.0,0,0.0,0.0
H17,,,,32.0,,,,32.0,32.0,0,0.0,0.0
H18,,,,,,,,0,0,0,0.0,0.0
H19,,,,55.0,,,,55.0,55.0,0,0.0,0.0
H20,,,,12,,,,12,12,0,0.0,0.0
H21,,,,34.0,,,,34.0,34.0,0,0.0,0.0
H22,,,,23.0,,,,23.0,23.0,0,0.0,0.0
H23,,,,,,,,0,0,0,0.0,0.0
H24,,,,,,,,0,0,0,0.0,0.0
H25,,,,82.0,,,,82.0,82.0,0,0.0,0.0
H26,,,,,,,,0,0,0,0.0,0.0
H27,,,,36.0,,,,36.0,36.0,0,0.0,0.0
H28,,,,,,,,0,0,0,0.0,0.0
H29,,,,,,,,0,0,0,0.0,0.0
H30,,,,75.0,,,,75.0,75.0,0,0.0,0.0
H31,,,,35.0,,,,35.0,35.0,0,0.0,0.0
H32,,,,29.0,,,,29.0,29.0,0,0.0,0.0
H33,,,,36.0,,,,36.0,36.0,0,0.0,0.0
H34,,,,,,,,0,0,0,0.0,0.0
H35,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H36,,,,46.0,,,,46.0,46.0,0,0.0,0.0
H37,,,,24.0,,,,24.0,24.0,0,0.0,0.0
H38,,,,,,,,0,0,0,0.0,0.0
H39,,,,20.0,,,,20.0,20.0,0,0.0,0.0
H40,,,,35,,,,35,35,0,0.0,0.0
H41,,,,18.0,,,,18.0,18.0,0,0.0,0.0
H42,,,,32,,,,32,32,0,0.0,0.0
H43,,,,,,,,0,0,0,0.0,0.0
H44,,,,75.0,,,,75.0,75.0,0,0.0,0.0
H45,,,,,,,,0,0,0,0.0,0.0
H46,,,,18.0,,,,18.0,18.0,0,0.0,0.0
H47,,,,32,,,,32,32,0,0.0,0.0
H48,,,,,,,,0,0,0,0.0,0.0
H49,,,,66.0,,,,66.0,66.0,0,0.0,0.0
H50,,,,9,,,,9,9,0,0.0,0.0
H51,,,,,,,,0,0,0,0.0,0.0
H52,,,,59.0,,,,59.0,59.0,0,0.0,0.0
H53,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H54,,,,,,,,0,0,0,0.0,0.0
H55,,,,41.0,,,,41.0,41.0,0,0.0,0.0
H56,,,,,,,,0,0,0,0.0,0.0
H57,,,,62.0,,,,62.0,62.0,0,0.0,0.0
H58,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H59,,,,10.0,,,,10.0,10.0,0,0.0,0.0
H60,,,,29.0,,,,29.0,29.0,0,0.0,0.0
H61,,,,21.0,,,,21.0,21.0,0,0.0,0.0
H62,,,,28,,,,28,28,0,0.0,0.0
H63,,,,,,,,0,0,0,0.0,0.0
H64,,,,70.0,,,,70.0,70.0,0,0.0,0.0
H65,,,,5,,,,5,5,0,0.0,0.0
H66,,,,22.0,,,,22.0,22.0,0,0.0,0.0
H67,,,,28,,,,28,28,0,0.0,0.0
H68,,,,,,,,0,0,0,0.0,0.0
H69,,,,,,,,0,0,0,0.0,0.0
H70,,,,75.0,,,,75.0,75.0,0,0.0,0.0
H71,,,,44.0,,,,44.0,44.0,0,0.0,0.0
H72,,,,16.0,,,,16.0,16.0,0,0.0,0.0
H73,,,,,,,,0,0,0,0.0,0.0
H74,,,,39.0,,,,39.0,39.0,0,0.0,0.0
H75,,,,26,,,,26,26,0,0.0,0.0
H76,,,,,,,,0,0,0,0.0,0.0
H77,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H78,,,,17.0,,,,17.0,17.0,0,0.0,0.0
H79,,,,,,,,0,0,0,0.0,0.0
H80,,,,58.0,,,,58.0,58.0,0,0.0,0.0
H81,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H82,,,,21.0,,,,21.0,21.0,0,0.0,0.0
H83,,,,18.0,,,,18.0,18.0,0,0.0,0.0
H84,,,,,,,,0,0,0,0.0,0.0
H85,,,,47.0,,,,47.0,47.0,0,0.0,0.0
H86,,,,39.0,,,,39.0,39.0,0,0.0,0.0
H87,,,,22.0,,,,22.0,22.0,0,0.0,0.0
H88,,,,28.0,,,,28.0,28.0,0,0.0,0.0
H89,,,,,,,,0,0,0,0.0,0.0
H90,,,,25.0,,,,25.0,25.0,0,0.0,0.0
H91,,,,20.0,,,,20.0,20.0,0,0.0,0.0
H92,,,,48.0,,,,48.0,48.0,0,0.0,0.0
H93,,,,,,,,0,0,0,0.0,0.0
H94,,,,,,,,0,0,0,0.0,0.0
H95,,,,70.0,,,,70.0,70.0,0,0.0,0.0
H96,,,,3.0,,,,3.0,3.0,0,0.0,0.0
H97,,,,34,,,,34,34,0,0.0,0.0
H98,,,,50.0,,,,50.0,50.0,0,0.0,0.0
H99,,,,,,,,0,0,0,0.0,0.0
H100,,,,30.0,,,,30.0,30.0,0,0.0,0.0
SYSTEM,,,,2500.0,,,2500.0,0,2500.0,2500.0,0.0,0.0
SYSTEM,system,System Total,2500.0,,Total Assets,summary,,,,,,
SYSTEM,system,System Total,2500.0,,Total Liabilities,summary,,,,,,
SYSTEM,system,System Total,0.0,,Total Equity,summary,,,,,,
