agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,13331.0,,-13331.0,0,13331.0,0.0,0.0
H1,,,,5643.0,,,,,5866,-223.0,5643.0,5866,0.0,0.0
H2,,,,3131.0,,,,,,3131.0,3131.0,0,0.0,0.0
H3,,,,2180.0,,,,,500,1680.0,2180.0,500,0.0,0.0
H4,,,,625.0,0,,,,502,123.0,625.0,502,0.0,0.0
H5,,,,627.0,,,,,6075,-5448.0,627.0,6075,0.0,0.0
big_short,,,,,6366,,,,,6366,6366,0,0.0,0.0
big_mid,,,,1125.0,500,,,,,1625.0,1625.0,0,0.0,0.0
big_long,,,,,6075,,,,,6075,6075,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,2,,,,,2,2,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,13331.0,12943,,,13331.0,12943,0,26274.0,26274.0,0.0,0.0
SYSTEM,system,System Total,26274.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,26274.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
