agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,19165.666666666668,,-19165.666666666668,0,19165.666666666668,0.0,0.0
H1,,,,2175.0,,,,,500,1675.0,2175.0,500,0.0,0.0
H2,,,,234.0,,,,,500,-266.0,234.0,500,0.0,0.0
H3,,,,2987.0,,,,,5440,-2453.0,2987.0,5440,0.0,0.0
H4,,,,5696.0,,,,,2958,2738.0,5696.0,2958,0.0,0.0
H5,,,,3462.0,,,,,2655,807.0,3462.0,2655,0.0,0.0
big_short,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_mid,,,,1015,1000,,,,,2015,2015,0,0.0,0.0
big_long,,,,833.3333333333334,500,,,,,1333.3333333333335,1333.3333333333335,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,1930.0,9553,,,,,11483.0,11483.0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,19165.666666666668,12053,,,19165.666666666668,12053,0,31218.666666666668,31218.666666666668,0.0,0.0
SYSTEM,system,System Total,31218.666666666668,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,31218.666666666668,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
