agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,12833.0,,-12833.0,0,12833.0,0.0,0.0
H1,,,,3062.0,,,,,2448,614.0,3062.0,2448,0.0,0.0
H2,,,,2281.0,,,,,5079,-2798.0,2281.0,5079,0.0,0.0
H3,,,,4746.0,,,,,2676,2070.0,4746.0,2676,0.0,0.0
H4,,,,,2708,,,,1586,1122,2708,1586,0.0,0.0
H5,,,,1494.0,,,,,3208,-1714.0,1494.0,3208,0.0,0.0
big_short,,,,625.0,1000,,,,,1625.0,1625.0,0,0.0,0.0
big_mid,,,,,5579,,,,,5579,5579,0,0.0,0.0
big_long,,,,625.0,500,,,,,1125.0,1125.0,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,5210,,,,,5210,5210,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,12833.0,14997,,,12833.0,14997,0,27830.0,27830.0,0.0,0.0
SYSTEM,system,System Total,27830.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,27830.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
