agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,15182.0,,-15182.0,0,15182.0,0.0,0.0
H1,,,,2500.0,5028,,,,2238,5290.0,7528.0,2238,0.0,0.0
H2,,,,191.0,,,,,,191.0,191.0,0,0.0,0.0
H3,,,,5786.0,,,,,2221,3565.0,5786.0,2221,0.0,0.0
H4,,,,2500.0,1721,,,,1225,2996.0,4221.0,1225,0.0,0.0
H5,,,,3080.0,,,,,5528,-2448.0,3080.0,5528,0.0,0.0
big_short,,,,625.0,1000,,,,,1625.0,1625.0,0,0.0,0.0
big_mid,,,,500,1225,,,,,1725,1725,0,0.0,0.0
big_long,,,,,2238,,,,,2238,2238,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,15182.0,11212,,,15182.0,11212,0,26394.0,26394.0,0.0,0.0
SYSTEM,system,System Total,26394.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,26394.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
