agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,18746.0,,-18746.0,0,18746.0,0.0,0.0
H1,,,,2872.0,,,,,500,2372.0,2872.0,500,0.0,0.0
H2,,,,1905.0,,,,,500,1405.0,1905.0,500,0.0,0.0
H3,,,,2238.0,,,,,2999,-761.0,2238.0,2999,0.0,0.0
H4,,,,3499.0,,,,,3485,14.0,3499.0,3485,0.0,0.0
H5,,,,3936.0,,,,,4467,-531.0,3936.0,4467,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,3046.0,9451,,,,,12497.0,12497.0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,18746.0,11951,,,18746.0,11951,0,30697.0,30697.0,0.0,0.0
SYSTEM,system,System Total,30697.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,30697.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
