agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,12002.333333333334,,-12002.333333333334,0,12002.333333333334,0.0,0.0
H1,,,,1303.0,,,,,4856,-3553.0,1303.0,4856,0.0,0.0
H2,,,,5170.0,,,,,5827,-657.0,5170.0,5827,0.0,0.0
H3,,,,1250.0,5327,,,,1146,5431.0,6577.0,1146,0.0,0.0
H4,,,,1767.0,,,,,2606,-839.0,1767.0,2606,0.0,0.0
H5,,,,1250.0,2106,,,,562,2794.0,3356.0,562,0.0,0.0
big_short,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,595.6666666666666,1062,,,,,1657.6666666666665,1657.6666666666665,0,0.0,0.0
big_long,,,,,4856,,,,,4856,4856,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,646,,,,,646,646,0,0.0,0.0
SYSTEM,,,,12002.333333333334,14997,,,12002.333333333334,14997,0,26999.333333333332,26999.333333333332,0.0,0.0
SYSTEM,system,System Total,26999.333333333332,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,26999.333333333332,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
