agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,7114.0,,-7114.0,0,7114.0,0.0,0.0
H1,,,,1250.0,31,,,,932,349.0,1281.0,932,0.0,0.0
H2,,,,193.0,1351,,,,1051,493.0,1544.0,1051,0.0,0.0
H3,,,,1746.0,,,,,1419,327.0,1746.0,1419,0.0,0.0
H4,,,,2031.0,,,,,11064,-9033.0,2031.0,11064,0.0,0.0
H5,,,,644.0,11115,,,,531,11228.0,11759.0,531,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,7114.0,14997,,,7114.0,14997,0,22111.0,22111.0,0.0,0.0
SYSTEM,system,System Total,22111.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,22111.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
