agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,16842.0,,-16842.0,0,16842.0,0.0,0.0
H1,,,,2484.0,,,,,500,1984.0,2484.0,500,0.0,0.0
H2,,,,142.0,,,,,500,-358.0,142.0,500,0.0,0.0
H3,,,,3471.0,,,,,500,2971.0,3471.0,500,0.0,0.0
H4,,,,1408.0,,,,,6034,-4626.0,1408.0,6034,0.0,0.0
H5,,,,6231.0,,,,,3461,2770.0,6231.0,3461,0.0,0.0
big_short,,,,750.0,1000,,,,,1750.0,1750.0,0,0.0,0.0
big_mid,,,,750.0,1000,,,,,1750.0,1750.0,0,0.0,0.0
big_long,,,,1431.0,500,,,,,1931.0,1931.0,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,175,8495,,,,,8670,8670,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,16842.0,10995,,,16842.0,10995,0,27837.0,27837.0,0.0,0.0
SYSTEM,system,System Total,27837.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,27837.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
