agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,26875.0,,-26875.0,0,26875.0,0.0,0.0
H1,,,,5000.0,1637,,,,2661,3976.0,6637.0,2661,0.0,0.0
H2,,,,5000.0,2161,,,,5827,1334.0,7161.0,5827,0.0,0.0
H3,,,,5000.0,5327,,,,1395,8932.0,10327.0,1395,0.0,0.0
H4,,,,5000.0,895,,,,2978,2917.0,5895.0,2978,0.0,0.0
H5,,,,5000.0,2478,,,,2137,5341.0,7478.0,2137,0.0,0.0
big_short,,,,625.0,1000,,,,,1625.0,1625.0,0,0.0,0.0
big_mid,,,,625.0,1000,,,,,1625.0,1625.0,0,0.0,0.0
big_long,,,,625.0,500,,,,,1125.0,1125.0,0,0.0,0.0
SYSTEM,,,,26875.0,14998,,,26875.0,14998,0,41873.0,41873.0,0.0,0.0
SYSTEM,system,System Total,41873.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,41873.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
