agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,14709.0,,-14709.0,0,14709.0,0.0,0.0
H1,,,,2976.0,,,,,2049,927.0,2976.0,2049,0.0,0.0
H2,,,,1864.0,,,,,4342,-2478.0,1864.0,4342,0.0,0.0
H3,,,,4083.0,,,,,2456,1627.0,4083.0,2456,0.0,0.0
H4,,,,2385.0,,,,,2884,-499.0,2385.0,2884,0.0,0.0
H5,,,,2651.0,,,,,3266,-615.0,2651.0,3266,0.0,0.0
big_short,,,,750.0,1000,,,,,1750.0,1750.0,0,0.0,0.0
big_mid,,,,,4842,,,,,4842,4842,0,0.0,0.0
big_long,,,,,2456,,,,,2456,2456,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,6699,,,,,6699,6699,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,14709.0,14997,,,14709.0,14997,0,29706.0,29706.0,0.0,0.0
SYSTEM,system,System Total,29706.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,29706.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
