agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,27749.666666666668,,-27749.666666666668,0,27749.666666666668,0.0,0.0
H1,,,,471.0,,,,,500,-29.0,471.0,500,0.0,0.0
H2,,,,8668.0,,,,,500,8168.0,8668.0,500,0.0,0.0
H3,,,,5361.0,,,,,500,4861.0,5361.0,500,0.0,0.0
H4,,,,512.0,,,,,500,12.0,512.0,500,0.0,0.0
H5,,,,9868.0,,,,,500,9368.0,9868.0,500,0.0,0.0
big_short,,,,833,1000,,,,,1833,1833,0,0.0,0.0
big_mid,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_long,,,,833.3333333333334,500,,,,,1333.3333333333335,1333.3333333333335,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,370,,,,,,370,370,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,27749.666666666668,2500,,,27749.666666666668,2500,0,30249.666666666668,30249.666666666668,0.0,0.0
SYSTEM,system,System Total,30249.666666666668,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,30249.666666666668,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
